content,author_comment,editor_memo,dummy,create_datetime,author_url,author,license
ファスナーを下ろしたあともそのひとはわたしのことを救ってくれた,,,,"Oct 1, 2025 3:58 am",https://x.com/kiroi_iorik,きいろい,CC BY-NC-ND 4.0
今まさに悩みまるごと裏返し月のケーキにエシレバターを,,,,"Oct 6, 2025 3:16 pm",https://x.com/saku_furui,古井　朔,CC BY-NC-ND 4.0
ZOZOTOWN　精一杯の輝きを振りまいて孤独死あたたかい,,,,"Sep 28, 2025 7:24 pm",https://x.com/kurage_pancake,金井水月,CC BY-NC-ND 4.0
ラフ・メイカー　あなたを喜ばせるために僕は悲しむことができます,,,,"Sep 30, 2025 12:59 pm",https://x.com/no_rain_no_kasa,琉生,CC BY-NC-ND 4.0
砂浜に眠る小瓶のコルク抜き手には無数の花びら落ちて,,,,"Sep 30, 2025 3:12 pm",https://x.com/Amamiyaamaki,雨宮雨霧,CC BY-NC-ND 4.0
黙祷を捧げるようにヒマワリは黒く佇み夏を弔う,枯れたひまわりの茶黒く首を垂らしている異様な姿が、黙祷しているように見えたことから生まれた歌です。,,,"Sep 30, 2025 9:25 am",https://x.com/mizu_tama_konko,水玉子,CC BY-NC-ND 4.0
惜しまずに九十九を白寿だと言い聞かせつつ遺骨をひろう,,,,"Oct 1, 2025 2:27 am",https://x.com/@aca_tabby,眠る金魚,CC BY-NC-ND 4.0
心まで透明にして欲しくない死んだとしても暴かないでね,,,,"Sep 30, 2025 9:19 pm",https://x.com/kiriyamatouta31,桐谷やまと,CC BY-NC-ND 4.0
"カステラのかおりがするねぐりとぐらみたいにあまい月をみている
",,,,"Oct 1, 2025 3:57 am",https://x.com/kiroi_iorik,きいろい,CC BY-NC-ND 4.0
かしゃかしゃと缶から落ちる虹の色まとってもまだ薄荷ドロップ,,,,"Sep 30, 2025 7:34 pm",https://x.com/nuttarifan,乃木ひかり,CC BY-NC-ND 4.0
改札に入ったらすぐさよならだねえコンビニでアイス買わない？,,,,"Oct 1, 2025 8:44 am",https://x.com/kikyo_nakano,仲野キキョウ,CC BY-NC-ND 4.0
笑ってるみたいな泣き方するから浮き輪だけ浮かんでる海みたいだ,,,,"Oct 1, 2025 8:21 pm",https://x.com/zeronokamides,ゼロの紙,CC BY-NC-ND 4.0
じわじわと滲み出るようにかなしみが全身巡りうみとなって,,,,"Oct 6, 2025 12:31 pm",https://x.com/prune0s,瀧,CC BY-NC-ND 4.0
メリーゴーランドを走る馬たちは幸せそうに走る　陣痛,,,,"Sep 28, 2025 7:24 pm",https://x.com/kurage_pancake,金井水月,CC BY-NC-ND 4.0
おやすみに続く言葉がおはようのしりとりだってふたりのルール,,,,"Sep 30, 2025 7:25 pm",https://x.com/hakka_kinoko,ベーグル,CC BY-NC-ND 4.0
ロジカルに見れば晴れでしょテーブルにレモンタルトがあるわけだから,日々の華。,,,"Oct 6, 2025 12:56 am",https://x.com/misosarasenryu,鯖虎,CC BY-NC-ND 4.0
さそり座は一位だったし信号は全部青だし鍵閉めたっけ,小さな幸せを噛み締めるとどこか不安を呼んでしまう性格のようです。,,,"Sep 30, 2025 10:40 am",https://x.com/nakamura_uonami,中村うおなみ,CC BY-NC-ND 4.0
父さんに聞けばよかった泣きながら私がキリンと写ってた理由《わけ》,,,,"Oct 5, 2025 9:18 pm",https://x.com/kijousan,宇井モナミ,CC BY-NC-ND 4.0
"生き物は縄張り持ちて安定する
距離を保てぬ人間（ひと）の苛立ち
",,,,"Oct 1, 2025 10:01 pm",,悲しみ,CC BY-NC-ND 4.0
振り向いてそして走って欲しいんだゴジラの前で僕が転けたら,,,,"Sep 30, 2025 5:33 am",https://x.com/sonatine_yuki,村川愉季,CC BY-NC-ND 4.0
